,Account,Text,Date,datetime,compound,neg,neu,pos
76,BBC North America,Melania jacket: Five things 'I don't care' could mean https://t.co/lJJubuLZtl,2018-06-22,2018-06-22 07:09:35-04:00,-0.3875,0.226,0.774,0.0
77,BBC North America,Kate Spade's father dies night before designer's funeral https://t.co/dAhl91hWQL,2018-06-22,2018-06-22 04:41:44-04:00,-0.3612,0.238,0.762,0.0
78,BBC North America,Migrant children: Pentagon asked to house migrant minors https://t.co/xIdBz9OYpn,2018-06-21,2018-06-21 19:30:56-04:00,0.0,0.0,1.0,0.0
79,BBC North America,"RT @sam_granville: ""These immigrants don't want to come here. They have to come here.""- @jmarczak on #Beyond100Days @BBCWorld https://t.co/…",2018-06-21,2018-06-21 15:27:32-04:00,-0.0572,0.064,0.936,0.0
80,BBC North America,Melania wears 'I don't really care do u?' coat on migrant visit https://t.co/XnhcPazj15,2018-06-21,2018-06-21 15:24:33-04:00,-0.43,0.192,0.808,0.0
81,BBC North America,Canadian tycoon's son Blake Leibel convicted of brutal murder https://t.co/6pcRDnQBNw,2018-06-21,2018-06-21 13:36:33-04:00,-0.8689,0.524,0.476,0.0
82,BBC North America,Confusion reigns over fate of detained migrant children https://t.co/AOPky5IjLq,2018-06-21,2018-06-21 13:07:11-04:00,-0.5994,0.412,0.588,0.0
83,BBC North America,"RT @BBCBreaking: I would like to ask how I can help reunite the children with their families ""as quickly as possible"" - @FLOTUS visits bord…",2018-06-21,2018-06-21 12:34:28-04:00,0.6369,0.0,0.794,0.206
84,BBC North America,Pittsburgh officer in fatal shooting of Antwon Rose 'just sworn in' https://t.co/4Ktyk53Uma,2018-06-21,2018-06-21 11:57:42-04:00,-0.5423,0.241,0.759,0.0
85,BBC North America,Confusion reigns over fate of detained migrant children https://t.co/B4UA4BWHNM,2018-06-21,2018-06-21 11:31:11-04:00,-0.5994,0.412,0.588,0.0
86,BBC North America,"RT @sam_granville: ""Since the 2016 election, there will not be a day in my life that goes by that I'm not nervous about politics.""
@danpfei…",2018-06-21,2018-06-21 09:26:34-04:00,0.2057,0.0,0.927,0.073
87,BBC North America,RT @AngelicaMCasas: This is the sound of migrant children NOT separated from their parents. https://t.co/NBgVoh1pS8,2018-06-21,2018-06-21 09:23:00-04:00,0.0,0.0,1.0,0.0
88,BBC North America,Suspect arrested over XXXTentacion killing https://t.co/yqm84G03Lr,2018-06-21,2018-06-21 09:02:09-04:00,-0.8658,0.764,0.236,0.0
89,BBC North America,Koko the famously social gorilla dies in California https://t.co/tN3HEAEzVp,2018-06-21,2018-06-21 07:37:01-04:00,0.0,0.0,1.0,0.0
90,BBC North America,Migrant children: US battle moves to Congress https://t.co/qhldMsr9f7,2018-06-21,2018-06-21 05:06:27-04:00,-0.3818,0.271,0.729,0.0
91,BBC North America,Charlottesville organiser plans Washington DC rally https://t.co/VUJD7yeTin,2018-06-20,2018-06-20 23:12:34-04:00,0.0,0.0,1.0,0.0
92,BBC North America,Donald Trump 'lacks character' for hotel liquor licence https://t.co/ktHvQZ2Zqw,2018-06-20,2018-06-20 22:09:27-04:00,0.0,0.0,1.0,0.0
93,BBC North America,US envoy Nikki Haley berates human rights groups https://t.co/NMMyFy8iEZ,2018-06-20,2018-06-20 20:02:16-04:00,0.0,0.0,1.0,0.0
94,BBC North America,US migrant children: The bigger picture explained https://t.co/iKbcqZSQ0R,2018-06-20,2018-06-20 19:11:54-04:00,0.0,0.0,1.0,0.0
95,BBC North America,Hollywood v Fox News: Why a Fox walkout over migrants unlikely https://t.co/1eJPLluPqi,2018-06-20,2018-06-20 18:47:58-04:00,-0.3182,0.204,0.796,0.0
96,BBC North America,Peter Fonda apologises for 'vulgar' Barron Trump tweet https://t.co/7oZ3mddl2Q,2018-06-20,2018-06-20 18:20:39-04:00,0.2023,0.0,0.816,0.184
97,BBC North America,"RT @BBCWorld: ""It's about keeping families together, while at the same time ensuring we have a very powerful, strong border""

Donald Trump…",2018-06-20,2018-06-20 17:07:48-04:00,0.8304,0.0,0.672,0.328
98,BBC North America,Former WWE wrester star Vader dies at 63 https://t.co/OocAqNIwMs,2018-06-20,2018-06-20 16:11:40-04:00,0.0,0.0,1.0,0.0
99,BBC North America,Canadians able to buy recreational cannabis in October https://t.co/tXY04RYXVr,2018-06-20,2018-06-20 16:09:03-04:00,0.0,0.0,1.0,0.0
100,CBS News,"Only on @CBSThisMorning, CBS News' Chip Reid spoke to Brennan McCarthy, the attorney who represented the woman Jarr… https://t.co/iipuyDcSDg",2018-06-29,2018-06-29 08:11:41-04:00,0.0,0.0,1.0,0.0
101,CBS News,"As the last of the Toys ""R"" Us stores ready for final closure this week, workers are saying they shouldn't be left… https://t.co/zKE9uGV4L9",2018-06-29,2018-06-29 08:00:46-04:00,0.3612,0.0,0.898,0.102
102,CBS News,"""This is a travesty that these parents have been separated from their children and vice-versa, and there does not a… https://t.co/bkXyLPNFJZ",2018-06-29,2018-06-29 07:49:01-04:00,-0.5719,0.163,0.837,0.0
103,CBS News,“I saw that the kids would start automatically crying because they didn’t have the opportunity to speak to their pa… https://t.co/cgbSCkI9AD,2018-06-29,2018-06-29 07:44:54-04:00,-0.0772,0.124,0.763,0.112
104,CBS News,"Activists want to fly this giant ""Trump Baby"" balloon over London to protest President Trump's UK visit:… https://t.co/PSTE50lsv6",2018-06-29,2018-06-29 07:43:52-04:00,-0.1779,0.104,0.829,0.067
105,CBS News,"On Wednesday, @CBSThisMorning showed videos from inside the Cayuga Centers in New York. Pamela Baez is the former e… https://t.co/m1WbQbaXUm",2018-06-29,2018-06-29 07:39:19-04:00,0.0,0.0,1.0,0.0
106,CBS News,President Trump hosted a bipartisan group of six senators at the White House on Thursday to discuss the Supreme Cou… https://t.co/DZSMCTu1qp,2018-06-29,2018-06-29 07:34:46-04:00,0.5574,0.0,0.841,0.159
107,CBS News,Anne Arundel County police chief Timothy Altomare on the weapon used in the Capital Gazette shooting: “It is a shot… https://t.co/btYUnHwIpk,2018-06-29,2018-06-29 07:33:26-04:00,-0.296,0.104,0.896,0.0
108,CBS News,Police chief Timothy Altomare says there was one documented incident with the Capital Gazette shooting suspect: “Th… https://t.co/xjKNAB6fwA,2018-06-29,2018-06-29 07:30:29-04:00,-0.296,0.115,0.885,0.0
109,CBS News,"“We are not getting too far on cooperation … [He’s] not saying much,” Anne Arundel County police chief Timothy Alto… https://t.co/o97YUGNikk",2018-06-29,2018-06-29 07:26:17-04:00,0.0,0.0,1.0,0.0
110,CBS News,Anne Arundel County police chief Timothy Altomare joins @CBSThisMorning. He says police have searched at the suspec… https://t.co/kpUesGVwJ2,2018-06-29,2018-06-29 07:25:01-04:00,0.0,0.0,1.0,0.0
111,CBS News,RT @CBSThisMorning: Law enforcement sources tell @CBSNews the shooter was hiding under a desk and had damaged his fingertips to make it har…,2018-06-29,2018-06-29 07:21:43-04:00,-0.6249,0.203,0.797,0.0
112,CBS News,Brennan McCarthy is the attorney who represented the woman Jarrod Ramos harassed. He said Ramos tormented his clien… https://t.co/pLDe6zB2Qq,2018-06-29,2018-06-29 07:20:41-04:00,-0.5423,0.163,0.837,0.0
